Graph,Exact-CP,Metaheuristic-ACO,NeuroCP-LNS
ck400.mtx.gz,239.0,225.0,228.0
dwt__918.mtx.gz,435.0,350.0,354.0
dwt___72.mtx.gz,69.0,69.0,70.0
gent113.mtx.gz,59.0,45.0,59.0
lns__131.mtx.gz,101.0,91.0,101.0
lnsp_131.mtx.gz,113.0,91.0,101.0
nos1.mtx.gz,188.0,195.0,198.0
saylr3.mtx.gz,1186.0,533.0,1139.0
sstmodel.mtx.gz,3065.0,1533.0,2767.0
steam1.mtx.gz,60.0,54.0,57.0
